antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, irrigation_type=Sprinkler","sowing_season=Winter, yield_level=High_Yield",0.058,0.212,0.034,0.5862068965517242,2.765126870527001,1.0,0.021704,1.9043333333333337,0.6776570500811789,0.1440677966101695,0.4748818484158937,0.37329212752114516
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter","temp_category=Moderate_Temp, moisture_category=Dry_Soil, yield_level=High_Yield",0.072,0.182,0.036,0.5,2.7472527472527473,1.0,0.022896,1.6360000000000001,0.6853448275862069,0.16513761467889906,0.3887530562347188,0.3489010989010989
"temp_category=Moderate_Temp, ndvi_category=Medium_NDVI, water_eff_category=Medium_Water_Eff","rainfall_category=Moderate_Rain, sowing_season=Winter, yield_level=High_Yield",0.086,0.162,0.038,0.4418604651162791,2.7275337352856734,1.0,0.024068,1.5014166666666666,0.6929632615455488,0.18095238095238095,0.33396236887384134,0.3382141831754235
"water_eff_category=High_Water_Eff, temp_category=Moderate_Temp, moisture_category=Dry_Soil, fertilizer_type=Inorganic","ph_category=Neutral_Soil, yield_level=High_Yield",0.052,0.254,0.036,0.6923076923076923,2.725620835857056,1.0,0.022792,2.4244999999999997,0.6678387248007501,0.1333333333333333,0.5875438234687564,0.4170199878861296
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, moisture_category=Dry_Soil, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.062,0.19,0.032,0.5161290322580645,2.7164685908319184,1.0,0.020220000000000002,1.6740000000000002,0.6736407249466952,0.14545454545454545,0.40262843488649935,0.3422750424448217
"rainfall_category=Low_Rain, sowing_season=Winter, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.066,0.19,0.034,0.5151515151515151,2.7113237639553427,1.0,0.02146,1.670625,0.6757778057689885,0.15315315315315317,0.4014216236438458,0.3470494417862839
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.074,0.19,0.038,0.5135135135135135,2.7027027027027026,1.0,0.02394,1.665,0.6803455723542116,0.16814159292035397,0.39939939939939934,0.3567567567567567
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, temp_category=Moderate_Temp","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.074,0.19,0.038,0.5135135135135135,2.7027027027027026,1.0,0.02394,1.665,0.6803455723542116,0.16814159292035397,0.39939939939939934,0.3567567567567567
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, fertilizer_type=Inorganic","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.054,0.22,0.032,0.5925925925925926,2.6936026936026933,1.0,0.02012,1.9145454545454546,0.6646405919661733,0.1322314049586777,0.47768281101614435,0.36902356902356903
"rainfall_category=Low_Rain, sowing_season=Spring","water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, yield_level=High_Yield",0.068,0.166,0.03,0.4411764705882352,2.6576895818568387,1.0,0.018712,1.4924210526315789,0.669241773962804,0.14705882352941174,0.32994780646071376,0.31094968107725013
"water_eff_category=High_Water_Eff, irrigation_type=Sprinkler","moisture_category=Dry_Soil, sowing_season=Winter, yield_level=High_Yield",0.074,0.184,0.036,0.48648648648648646,2.643948296122209,1.0,0.022383999999999998,1.5890526315789473,0.6714662826973842,0.16216216216216214,0.37069422363540006,0.34106933019976493
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, temp_category=Moderate_Temp, moisture_category=Dry_Soil","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.068,0.19,0.034,0.5,2.6315789473684212,1.0,0.02108,1.62,0.6652360515021459,0.1517857142857143,0.38271604938271603,0.3394736842105263
"rainfall_category=Low_Rain, fertilizer_type=Inorganic","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.064,0.19,0.032,0.5,2.6315789473684212,1.0,0.01984,1.62,0.6623931623931624,0.14414414414414414,0.38271604938271603,0.33421052631578946
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, fertilizer_type=Inorganic","ph_category=Neutral_Soil, yield_level=High_Yield",0.054,0.254,0.036,0.6666666666666666,2.6246719160104983,1.0,0.022283999999999998,2.2379999999999995,0.6543340380549683,0.13235294117647056,0.5531724754244861,0.40419947506561676
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, moisture_category=Dry_Soil, fertilizer_type=Inorganic","ph_category=Neutral_Soil, yield_level=High_Yield",0.048,0.254,0.032,0.6666666666666666,2.6246719160104983,1.0,0.019808,2.2379999999999995,0.6502100840336135,0.11851851851851851,0.5531724754244861,0.3963254593175853
"ph_category=Neutral_Soil, rainfall_category=Moderate_Rain, sowing_season=Winter, moisture_category=Dry_Soil, water_eff_category=High_Water_Eff","temp_category=Moderate_Temp, yield_level=High_Yield",0.066,0.208,0.036,0.5454545454545454,2.6223776223776225,1.0,0.022271999999999997,1.7424,0.662384011420414,0.15126050420168066,0.426078971533517,0.35926573426573427
"rainfall_category=Low_Rain, ph_category=Neutral_Soil, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, yield_level=High_Yield",0.074,0.166,0.032,0.43243243243243246,2.6050146532074243,1.0,0.019716,1.4694285714285715,0.6653617710583153,0.15384615384615385,0.3194633482403267,0.3126017583848909
"ph_category=Neutral_Soil, temp_category=Moderate_Temp, ndvi_category=Medium_NDVI, water_eff_category=Medium_Water_Eff","rainfall_category=Moderate_Rain, moisture_category=Dry_Soil, yield_level=High_Yield",0.052,0.222,0.03,0.576923076923077,2.598752598752599,1.0,0.018456,1.8389090909090913,0.648945147679325,0.12295081967213113,0.4561993276646234,0.35602910602910603
"water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, sowing_season=Winter, irrigation_type=Sprinkler","ph_category=Neutral_Soil, yield_level=High_Yield",0.052,0.254,0.034,0.653846153846154,2.5741974560872203,1.0,0.020792000000000005,2.1551111111111116,0.6450732191610822,0.125,0.5359868014023511,0.3938522107813447
"rainfall_category=Low_Rain, temp_category=Moderate_Temp","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.086,0.19,0.042,0.4883720930232559,2.5703794369645045,1.0,0.025660000000000002,1.5831818181818185,0.6684380535584036,0.1794871794871795,0.36836060867068626,0.35471236230110165
"region=East Africa, water_eff_category=High_Water_Eff","moisture_category=Dry_Soil, sowing_season=Winter, yield_level=High_Yield",0.068,0.184,0.032,0.47058823529411764,2.557544757033248,1.0,0.019488,1.5413333333333334,0.6534334763948497,0.14545454545454545,0.35121107266435986,0.32225063938618925
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, temp_category=Moderate_Temp","moisture_category=Dry_Soil, sowing_season=Winter, yield_level=High_Yield",0.098,0.184,0.046,0.4693877551020408,2.5510204081632653,1.0,0.027968,1.5378461538461539,0.6740576496674058,0.1949152542372881,0.3497398959583833,0.3596938775510204
"ph_category=Neutral_Soil, rainfall_category=Moderate_Rain, sowing_season=Winter, water_eff_category=High_Water_Eff, temp_category=Moderate_Temp","moisture_category=Dry_Soil, yield_level=High_Yield",0.048,0.294,0.036,0.7499999999999999,2.5510204081632653,1.0,0.021887999999999998,2.8239999999999985,0.6386554621848739,0.11764705882352941,0.6458923512747874,0.4362244897959183
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter","temp_category=Moderate_Temp, yield_level=High_Yield",0.072,0.208,0.038,0.5277777777777778,2.5373931623931627,1.0,0.023024000000000003,1.6771764705882355,0.6529038112522686,0.15702479338842978,0.4037598204264871,0.35523504273504275
"temp_category=Moderate_Temp, moisture_category=Dry_Soil, ndvi_category=Medium_NDVI, water_eff_category=Medium_Water_Eff","rainfall_category=Moderate_Rain, sowing_season=Winter, yield_level=High_Yield",0.078,0.162,0.032,0.41025641025641024,2.5324469768914213,1.0,0.019364,1.4209565217391305,0.656317787418655,0.15384615384615385,0.29624869958998834,0.30389363722697055
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter","temp_category=Moderate_Temp, moisture_category=Dry_Soil, yield_level=High_Yield",0.1,0.182,0.046,0.45999999999999996,2.5274725274725274,1.0,0.0278,1.5148148148148148,0.6714975845410628,0.1949152542372881,0.3398533007334963,0.35637362637362635
"rainfall_category=Low_Rain, temp_category=Moderate_Temp","water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, yield_level=High_Yield",0.086,0.166,0.036,0.4186046511627907,2.521714766040908,1.0,0.021724,1.4344800000000002,0.6602236810114273,0.16666666666666666,0.30288327477552845,0.3177360605211544
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, sowing_season=Winter, irrigation_type=Sprinkler","moisture_category=Dry_Soil, yield_level=High_Yield",0.046,0.294,0.034,0.7391304347826088,2.51404909790003,1.0,0.020476,2.7063333333333337,0.6312738932050809,0.11111111111111115,0.6304963665476045,0.42738834664300507
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, temp_category=Moderate_Temp","moisture_category=Dry_Soil, sowing_season=Winter, yield_level=High_Yield",0.078,0.184,0.036,0.4615384615384615,2.5083612040133776,1.0,0.021647999999999997,1.5154285714285713,0.6522053506869124,0.15929203539823006,0.34012066365007537,0.32859531772575246
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, irrigation_type=Sprinkler","sowing_season=Winter, yield_level=High_Yield",0.064,0.212,0.034,0.53125,2.5058962264150946,1.0,0.020432000000000002,1.6810666666666667,0.6420311714429363,0.14049586776859505,0.40513959390862947,0.34581367924528306
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, temp_category=Moderate_Temp","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.098,0.22,0.054,0.5510204081632653,2.504638218923933,1.0,0.03244,1.737272727272727,0.6660096903999342,0.20454545454545453,0.4243851386708529,0.39823747680890537
"water_eff_category=High_Water_Eff, moisture_category=Dry_Soil, irrigation_type=Sprinkler","sowing_season=Winter, yield_level=High_Yield",0.068,0.212,0.036,0.5294117647058822,2.4972253052164257,1.0,0.021584,1.6744999999999997,0.6432999523128279,0.14754098360655735,0.40280680800238866,0.3496115427302996
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, moisture_category=Dry_Soil","temp_category=Moderate_Temp, yield_level=High_Yield",0.104,0.208,0.054,0.5192307692307693,2.4963017751479293,1.0,0.032368,1.6473600000000002,0.6689814814814814,0.20930232558139533,0.39296814296814303,0.389423076923077
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter, temp_category=Moderate_Temp","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.066,0.22,0.036,0.5454545454545454,2.4793388429752063,1.0,0.02148,1.716,0.6388294075660244,0.14399999999999996,0.4172494172494172,0.3545454545454545
"water_eff_category=High_Water_Eff, ndvi_category=Medium_NDVI, fertilizer_type=Inorganic","ph_category=Neutral_Soil, yield_level=High_Yield",0.054,0.254,0.034,0.6296296296296297,2.478856809565471,1.0,0.020284000000000003,2.0142,0.6306429548563612,0.12408759124087591,0.5035249726938735,0.38174394867308253
"water_eff_category=High_Water_Eff, sowing_season=Winter, irrigation_type=Sprinkler","ph_category=Neutral_Soil, yield_level=High_Yield",0.054,0.254,0.034,0.6296296296296297,2.478856809565471,1.0,0.020284000000000003,2.0142,0.6306429548563612,0.12408759124087591,0.5035249726938735,0.38174394867308253
"rainfall_category=Low_Rain, sowing_season=Spring","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.068,0.19,0.032,0.47058823529411764,2.4767801857585137,1.0,0.01908,1.53,0.6397532188841202,0.1415929203539823,0.3464052287581699,0.3195046439628483
"rainfall_category=Low_Rain, sowing_season=Spring, moisture_category=Dry_Soil","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.064,0.19,0.03,0.46875,2.4671052631578947,1.0,0.017839999999999998,1.5247058823529414,0.6353276353276354,0.13392857142857142,0.3441358024691358,0.31332236842105265
"rainfall_category=Low_Rain, temp_category=Moderate_Temp, moisture_category=Dry_Soil","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.078,0.19,0.036,0.4615384615384615,2.42914979757085,1.0,0.021179999999999997,1.5042857142857142,0.6381055676066522,0.15517241379310343,0.3352326685660018,0.3255060728744939
"ph_category=Neutral_Soil, ndvi_category=Medium_NDVI, moisture_category=Dry_Soil, water_eff_category=Medium_Water_Eff, temp_category=Moderate_Temp","rainfall_category=Moderate_Rain, yield_level=High_Yield",0.048,0.258,0.03,0.625,2.4224806201550386,1.0,0.017616,1.9786666666666666,0.6168067226890757,0.10869565217391303,0.4946091644204852,0.3706395348837209
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, temp_category=Moderate_Temp","sowing_season=Winter, yield_level=High_Yield",0.098,0.212,0.05,0.5102040816326531,2.406623026569118,1.0,0.029224000000000003,1.6088333333333333,0.6479822616407983,0.19230769230769232,0.3784315756759557,0.37302656911821336
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter","temp_category=Moderate_Temp, yield_level=High_Yield",0.1,0.208,0.05,0.5,2.4038461538461537,1.0,0.029200000000000004,1.584,0.6488888888888888,0.1937984496124031,0.36868686868686873,0.3701923076923077
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter, moisture_category=Dry_Soil","temp_category=Moderate_Temp, yield_level=High_Yield",0.092,0.208,0.046,0.5,2.4038461538461537,1.0,0.026864,1.584,0.6431718061674009,0.1811023622047244,0.36868686868686873,0.3605769230769231
"rainfall_category=Low_Rain, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.092,0.19,0.042,0.4565217391304348,2.402745995423341,1.0,0.024520000000000004,1.4904000000000002,0.6429620306272289,0.175,0.3290391841116479,0.3387871853546911
"irrigation_type=Drip, water_eff_category=Medium_Water_Eff","rainfall_category=Moderate_Rain, yield_level=High_Yield",0.068,0.258,0.042,0.6176470588235294,2.3939808481532148,1.0,0.024456000000000002,1.9406153846153846,0.6247700797057021,0.14788732394366197,0.4846995401934359,0.39021887824897405
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain","temp_category=Moderate_Temp, moisture_category=Dry_Soil, yield_level=High_Yield",0.124,0.182,0.054,0.43548387096774194,2.39276852180078,1.0,0.031432,1.4490285714285718,0.6644681210891257,0.21428571428571427,0.3098824828456503,0.3660935838355193
"ph_category=Neutral_Soil, temp_category=Moderate_Temp, ndvi_category=Medium_NDVI, water_eff_category=Medium_Water_Eff","rainfall_category=Moderate_Rain, yield_level=High_Yield",0.052,0.258,0.032,0.6153846153846154,2.385211687537269,1.0,0.018584000000000003,1.9292000000000002,0.6126054852320677,0.11510791366906474,0.4816504250466515,0.3697078115682767
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter, temp_category=Moderate_Temp","moisture_category=Dry_Soil, yield_level=High_Yield",0.066,0.294,0.046,0.6969696969696969,2.370645227788085,1.0,0.026595999999999998,2.329799999999999,0.6190298854855227,0.1464968152866242,0.570778607605803,0.4267161410018553
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, moisture_category=Dry_Soil, temp_category=Moderate_Temp","sowing_season=Winter, yield_level=High_Yield",0.092,0.212,0.046,0.5,2.358490566037736,1.0,0.026496,1.576,0.6343612334801761,0.17829457364341084,0.3654822335025381,0.3584905660377359
"region=East Africa, water_eff_category=High_Water_Eff, moisture_category=Dry_Soil","sowing_season=Winter, yield_level=High_Yield",0.064,0.212,0.032,0.5,2.358490566037736,1.0,0.018432,1.576,0.6153846153846154,0.13114754098360654,0.3654822335025381,0.32547169811320753
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, temp_category=Moderate_Temp, fertilizer_type=Inorganic","moisture_category=Dry_Soil, yield_level=High_Yield",0.052,0.294,0.036,0.6923076923076923,2.3547880690737832,1.0,0.020712,2.2944999999999998,0.6068917018284108,0.11612903225806451,0.5641752015689693,0.4073783359497645
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, temp_category=Moderate_Temp","moisture_category=Dry_Soil, yield_level=High_Yield",0.078,0.294,0.054,0.6923076923076923,2.3547880690737832,1.0,0.031068000000000002,2.2944999999999998,0.624005784526392,0.16981132075471697,0.5641752015689693,0.4379905808477237
"rainfall_category=Low_Rain, moisture_category=Dry_Soil, ndvi_category=Medium_NDVI","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.076,0.19,0.034,0.44736842105263164,2.3545706371191137,1.0,0.01956,1.465714285714286,0.6226126814362107,0.14655172413793105,0.317738791423002,0.31315789473684214
"ndvi_category=High_NDVI, temp_category=Moderate_Temp, water_eff_category=High_Water_Eff","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.058,0.22,0.03,0.5172413793103448,2.351097178683385,1.0,0.01724,1.6157142857142854,0.6100495399858458,0.12096774193548386,0.3810786914235189,0.32680250783699055
"rainfall_category=Low_Rain, irrigation_type=No Irrigation","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.072,0.19,0.032,0.4444444444444445,2.339181286549708,1.0,0.018320000000000003,1.458,0.6169181034482759,0.1391304347826087,0.3141289437585734,0.3064327485380117
"water_eff_category=High_Water_Eff, irrigation_type=Sprinkler","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.074,0.22,0.038,0.5135135135135135,2.334152334152334,1.0,0.02172,1.6033333333333333,0.6172558826872797,0.1484375,0.37629937629937626,0.3431203931203931
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, temp_category=Moderate_Temp","ph_category=Neutral_Soil, yield_level=High_Yield",0.098,0.254,0.058,0.5918367346938775,2.330065884621565,1.0,0.033108,1.8276999999999999,0.6328465479012156,0.19727891156462588,0.45286425562181976,0.4100915956933955
"ph_category=Neutral_Soil, rainfall_category=Moderate_Rain, sowing_season=Winter, water_eff_category=High_Water_Eff, temp_category=Moderate_Temp",yield_level=High_Yield,0.048,0.34,0.038,0.7916666666666666,2.3284313725490193,1.0,0.021679999999999998,3.1679999999999993,0.5992923485183547,0.10857142857142855,0.6843434343434344,0.45171568627450975
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, sowing_season=Winter, ndvi_category=Medium_NDVI",yield_level=High_Yield,0.038,0.34,0.03,0.7894736842105263,2.3219814241486065,1.0,0.017079999999999998,3.135,0.5918225918225918,0.08620689655172414,0.6810207336523126,0.4388544891640867
"water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, moisture_category=Dry_Soil, temp_category=Moderate_Temp","ph_category=Neutral_Soil, yield_level=High_Yield",0.092,0.254,0.054,0.5869565217391305,2.310852447791852,1.0,0.030632,1.8061052631578949,0.6247348670256159,0.18493150684931509,0.44632241519990684,0.3997774734679904
"water_eff_category=High_Water_Eff, temp_category=Moderate_Temp, fertilizer_type=Inorganic","moisture_category=Dry_Soil, yield_level=High_Yield",0.056,0.294,0.038,0.6785714285714285,2.3080660835762874,1.0,0.021536,2.196444444444444,0.60035682426405,0.12179487179487179,0.5447187373532982,0.4039115646258503
"sowing_season=Spring, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain","ph_category=Neutral_Soil, yield_level=High_Yield",0.058,0.254,0.034,0.5862068965517242,2.3079011675264733,1.0,0.019268,1.8028333333333335,0.601598601223929,0.1223021582733813,0.4453175556993622,0.3600325821341298
"ph_category=Neutral_Soil, rainfall_category=Moderate_Rain, sowing_season=Winter, moisture_category=Dry_Soil, water_eff_category=High_Water_Eff, temp_category=Moderate_Temp",yield_level=High_Yield,0.046,0.34,0.036,0.7826086956521738,2.301790281329923,1.0,0.020359999999999996,3.0359999999999987,0.5928255299324482,0.10285714285714284,0.6706192358366271,0.44424552429667513
"ph_category=Neutral_Soil, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain, temp_category=Moderate_Temp","sowing_season=Winter, yield_level=High_Yield",0.078,0.212,0.038,0.48717948717948717,2.2980164489598454,1.0,0.021464,1.5366000000000002,0.6126270122160065,0.15079365079365079,0.34921254718209027,0.33321238509917755
"ph_category=Neutral_Soil, rainfall_category=Moderate_Rain, moisture_category=Dry_Soil, water_eff_category=High_Water_Eff, temp_category=Moderate_Temp","sowing_season=Winter, yield_level=High_Yield",0.074,0.212,0.036,0.48648648648648646,2.2947475777664454,1.0,0.020312,1.5345263157894735,0.609311255099592,0.14400000000000002,0.34833310467828227,0.32814890362060173
"water_eff_category=High_Water_Eff, irrigation_type=Sprinkler","sowing_season=Winter, yield_level=High_Yield",0.074,0.212,0.036,0.48648648648648646,2.2947475777664454,1.0,0.020312,1.5345263157894735,0.609311255099592,0.14400000000000002,0.34833310467828227,0.32814890362060173
"rainfall_category=Moderate_Rain, sowing_season=Winter, moisture_category=Dry_Soil, water_eff_category=High_Water_Eff, temp_category=Moderate_Temp","ph_category=Neutral_Soil, yield_level=High_Yield",0.062,0.254,0.036,0.5806451612903225,2.2860045720091438,1.0,0.020251999999999996,1.7789230769230766,0.599739398246861,0.12857142857142856,0.4378621465017728,0.3611887223774447
"rainfall_category=Low_Rain, ph_category=Neutral_Soil","water_eff_category=High_Water_Eff, yield_level=High_Yield",0.148,0.19,0.064,0.43243243243243246,2.275960170697013,1.0,0.03588,1.4271428571428573,0.6580105633802817,0.23357664233576647,0.2992992992992993,0.38463726884779514
"ndvi_category=High_NDVI, rainfall_category=Moderate_Rain, water_eff_category=High_Water_Eff","ph_category=Neutral_Soil, moisture_category=Dry_Soil, yield_level=High_Yield",0.06,0.22,0.03,0.5,2.272727272727273,1.0,0.0168,1.56,0.5957446808510639,0.12,0.358974358974359,0.3181818181818182
"fertilizer_type=Organic, water_eff_category=High_Water_Eff, rainfall_category=Moderate_Rain",yield_level=High_Yield,0.044,0.34,0.034,0.7727272727272728,2.272727272727273,1.0,0.01904,2.904000000000001,0.5857740585774059,0.09714285714285716,0.6556473829201104,0.4363636363636364
"ph_category=Neutral_Soil, sowing_season=Winter, moisture_category=Dry_Soil, water_eff_category=High_Water_Eff, irrigation_type=Sprinkler",yield_level=High_Yield,0.044,0.34,0.034,0.7727272727272728,2.272727272727273,1.0,0.01904,2.904000000000001,0.5857740585774059,0.09714285714285716,0.6556473829201104,0.4363636363636364
