farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status,sowing_month,harvest_month,price_per_kg_EUR,revenue_per_hectare_EUR,yield_per_day,water_efficiency,pesticide_efficiency,heat_stress,drought_stress,growing_conditions_score,sowing_season,country
FARM0028,South USA,Soybean,43.11,5.54,32.61,193.92,63.85,9.66,Manual,Inorganic,43.41,2024-02-18,2024-07-04,137,4938.54,SENS0028,2024-04-14,22.205737,75.458706,0.59,Severe,2,7,0.4987852229601519,2463.2707749976285,36.04773722627737,25.33624050892674,111.20333258275164,1,0,53.675000000000004,Winter,USA
FARM0029,Central USA,Cotton,35.35,7.18,33.39,295.18,66.71,9.44,Drip,Organic,33.92,2024-01-28,2024-05-26,119,2726.92,SENS0029,2024-03-01,19.477597,74.233206,0.5,Severe,1,5,1.6810423698639896,4584.06805922951,22.915294117647058,9.206968735228577,78.09049255441008,1,0,49.830555555555556,Winter,USA
FARM0030,Central USA,Cotton,18.83,5.66,15.39,184.85,90.0,6.1,Drip,Mixed,6.81,2024-01-08,2024-04-19,102,5356.92,SENS0030,2024-03-27,13.809559,72.524419,0.7,Mild,1,4,1.6810423698639896,9005.209491971804,52.51882352941177,28.82389023405973,685.9052496798976,0,1,39.93611111111112,Winter,USA
FARM0031,South USA,Maize,36.84,5.84,27.14,236.98,45.73,8.92,Manual,Organic,31.04,2024-02-19,2024-07-01,133,5632.1,SENS0031,2024-05-25,19.916361,84.300294,0.35,Mild,2,7,0.22661864363728726,1276.3388628295656,42.346616541353384,23.666274476846798,175.7833957553059,0,0,62.86666666666667,Winter,USA
FARM0032,North India,Maize,39.76,6.7,17.42,295.96,79.13,6.08,No Irrigation,Mixed,21.68,2024-03-21,2024-07-10,111,2050.61,SENS0032,2024-05-13,30.558273,72.110777,0.88,Severe,3,7,0.22661864363728726,464.70645682905763,18.473963963963964,6.905340786637932,90.41490299823634,0,0,71.80555555555556,Spring,India
FARM0033,South India,Cotton,16.16,6.54,28.01,203.98,85.98,8.65,No Irrigation,Inorganic,42.16,2024-03-09,2024-06-27,110,5406.85,SENS0033,2024-06-23,33.365547,75.578565,0.57,Severe,3,6,1.6810423698639896,9089.143937499113,49.15318181818182,26.377451458678898,125.27455977757184,0,1,65.0361111111111,Spring,India
FARM0034,East Africa,Soybean,33.39,6.17,24.89,131.25,64.38,6.13,Manual,Inorganic,17.58,2024-03-23,2024-08-16,146,3105.07,SENS0034,2024-03-25,22.915681,73.821128,0.44,Severe,3,8,0.4987852229601519,1548.763032256879,21.26760273972603,23.478790170132328,167.1189451022605,0,0,73.775,Spring,Kenya
FARM0035,South USA,Soybean,36.54,6.88,27.92,172.71,79.65,4.56,Sprinkler,Inorganic,36.13,2024-02-22,2024-06-28,127,3476.08,SENS0035,2024-05-20,20.637595,84.918709,0.5,Severe,2,6,0.4987852229601519,1733.8173378273248,27.37070866141732,20.01082263542686,93.61917586856988,0,0,69.16666666666666,Winter,USA
FARM0036,Central USA,Maize,18.8,5.74,18.85,79.89,66.79,8.57,Sprinkler,Organic,14.74,2024-02-09,2024-06-24,136,4358.35,SENS0036,2024-06-22,24.919769,89.610213,0.8,Moderate,2,6,0.22661864363728726,987.683365496571,32.04669117647059,53.87996044010385,276.8964421855146,0,1,52.402777777777786,Winter,USA
FARM0037,South India,Maize,16.28,5.53,25.68,118.58,88.71,7.32,Sprinkler,Mixed,44.08,2024-02-04,2024-06-28,145,2049.06,SENS0037,2024-04-16,21.734924,78.809376,0.41,No Disease,2,6,0.22661864363728726,464.3551979314198,14.131448275862068,17.135474159558456,45.453859804791485,0,1,51.427777777777784,Winter,India
FARM0038,Central USA,Cotton,13.99,5.63,24.83,194.26,74.32,4.91,Manual,Organic,49.73,2024-01-18,2024-06-04,138,3664.7,SENS0038,2024-03-15,29.392338,77.607561,0.85,Moderate,1,6,1.6810423698639896,6160.515972840562,26.555797101449276,18.768308921438084,72.23930613049478,0,1,64.09722222222221,Winter,USA
FARM0039,East Africa,Cotton,20.69,6.74,27.19,235.02,87.38,5.25,Sprinkler,Inorganic,34.72,2024-01-08,2024-04-18,101,4207.97,SENS0039,2024-01-28,10.066893,79.010074,0.66,Moderate,1,4,1.6810423698639896,7073.775861116573,41.663069306930694,17.82887043470892,117.80431131019039,0,0,68.51944444444445,Winter,Kenya
FARM0040,North India,Rice,20.08,6.07,32.19,67.79,51.67,5.59,Sprinkler,Inorganic,10.16,2024-01-21,2024-04-29,99,5633.65,SENS0040,2024-02-08,11.785246,73.318456,0.48,Moderate,1,4,0.45,2535.1425,56.90555555555555,81.89635121383921,504.80734767025086,1,0,48.0138888888889,Winter,India
FARM0041,South USA,Wheat,26.4,6.11,23.05,118.06,67.0,6.63,Drip,Inorganic,38.05,2024-03-09,2024-06-08,91,2365.31,SENS0041,2024-06-03,30.898965,81.503982,0.87,Moderate,3,6,0.23162925759013286,547.8749992705172,25.99241758241758,19.866537880060473,60.57131882202305,0,0,75.04166666666667,Spring,USA
FARM0042,East Africa,Wheat,36.71,5.85,25.38,160.56,53.91,9.98,No Irrigation,Mixed,41.64,2024-01-16,2024-05-07,112,3633.39,SENS0042,2024-02-26,26.753338,87.154662,0.5,Severe,1,5,0.23162925759013286,841.5994282354128,32.440982142857145,22.48941569695469,85.2108348968105,0,0,71.1111111111111,Winter,Kenya
FARM0043,Central USA,Cotton,38.47,6.6,24.1,128.63,56.16,9.82,No Irrigation,Mixed,42.12,2024-01-22,2024-06-15,145,4170.37,SENS0043,2024-05-06,11.355102,80.368788,0.67,Severe,1,6,1.6810423698639896,7010.568668009686,28.7611724137931,32.17133379618915,96.7154452690167,0,0,84.20555555555556,Winter,USA
FARM0044,South USA,Wheat,17.12,6.6,33.55,159.53,74.91,4.73,Sprinkler,Mixed,12.13,2024-03-01,2024-07-04,125,3631.96,SENS0044,2024-03-29,34.806428,88.258598,0.58,No Disease,3,7,0.23162925759013286,841.268198397059,29.05568,22.624805332336635,276.6153846153846,1,1,50.969444444444456,Spring,USA
FARM0045,South India,Cotton,42.64,6.08,29.11,153.87,64.12,6.83,No Irrigation,Mixed,11.51,2024-01-20,2024-05-21,122,4985.17,SENS0045,2024-02-06,31.600673,75.524948,0.77,Severe,1,5,1.6810423698639896,8380.281990974865,40.86204918032787,32.18938464518629,398.49480415667466,0,0,75.66388888888889,Winter,India
FARM0046,Central USA,Soybean,19.35,5.51,29.52,259.37,69.0,7.96,Sprinkler,Inorganic,29.24,2024-02-11,2024-06-15,125,5051.49,SENS0046,2024-03-30,21.383615,76.435547,0.41,Mild,2,6,0.4987852229601519,2519.6085659309774,40.411919999999995,19.401198294734414,167.046626984127,0,1,43.2,Winter,USA
FARM0047,East Africa,Cotton,18.17,7.05,15.87,236.18,75.26,8.87,No Irrigation,Mixed,40.66,2024-03-05,2024-07-04,121,5859.3,SENS0047,2024-03-21,22.557279,81.803609,0.82,Severe,3,7,1.6810423698639896,9849.731557744075,48.42396694214876,24.70402226157349,140.64570331253003,0,1,48.60277777777778,Spring,Kenya
FARM0048,North India,Soybean,41.87,5.53,17.88,267.73,88.5,4.45,Manual,Inorganic,33.05,2024-02-21,2024-05-26,95,5407.06,SENS0048,2024-05-17,31.483555,77.600188,0.49,Severe,2,5,0.4987852229601519,2696.961627658919,56.916421052631584,20.1207903844007,158.7976505139501,0,0,51.544444444444444,Winter,India
FARM0049,East Africa,Wheat,31.61,5.97,28.69,121.84,51.37,4.54,Drip,Mixed,36.68,2024-01-15,2024-04-24,100,4776.0,SENS0049,2024-01-18,11.149774,85.922869,0.48,Moderate,1,4,0.23162925759013286,1106.2613342504746,47.76,38.879843699120805,126.7515923566879,0,0,61.50277777777777,Winter,Kenya
FARM0050,South USA,Rice,18.55,6.32,28.64,95.01,48.75,7.66,No Irrigation,Mixed,35.74,2024-02-19,2024-05-28,99,2928.75,SENS0050,2024-05-10,16.349433,75.106534,0.31,Severe,2,5,0.45,1317.9375,29.583333333333332,30.504634933861055,79.71556886227545,0,1,55.95555555555556,Winter,USA
FARM0051,Central USA,Soybean,15.53,6.38,21.91,196.89,71.95,6.55,Manual,Inorganic,43.04,2024-01-13,2024-06-05,144,3932.83,SENS0051,2024-03-13,19.534107,77.179183,0.48,Moderate,1,6,0.4987852229601519,1961.637488414374,27.311319444444443,19.873818788215676,89.30131698455949,0,1,60.90277777777778,Winter,USA
FARM0052,North India,Cotton,19.61,6.63,28.72,236.17,42.45,7.64,No Irrigation,Inorganic,39.91,2024-01-20,2024-06-09,141,3409.28,SENS0052,2024-03-08,25.522279,83.555289,0.73,Mild,1,6,1.6810423698639896,5731.144130729903,24.179290780141844,14.374836615086227,83.3361036421413,0,1,67.67777777777778,Winter,India
FARM0053,North India,Wheat,20.81,6.38,26.59,233.09,44.51,5.77,No Irrigation,Organic,14.04,2024-03-12,2024-07-13,123,4007.18,SENS0053,2024-04-15,30.761815,75.139402,0.79,Severe,3,7,0.23162925759013286,928.1801284300286,32.57869918699187,17.11811696356102,266.43484042553195,0,0,75.33611111111111,Spring,India
FARM0054,Central USA,Maize,38.15,6.44,16.51,238.54,51.28,8.06,No Irrigation,Mixed,21.46,2024-02-01,2024-05-17,106,4146.29,SENS0054,2024-03-30,19.214641,84.980232,0.46,Severe,2,5,0.22661864363728726,939.6266159268478,39.11594339622641,17.309384653920013,184.60774710596615,0,0,60.469444444444456,Winter,USA
FARM0055,Central USA,Wheat,33.62,6.44,27.39,285.79,56.4,7.66,Drip,Mixed,42.07,2024-03-10,2024-07-19,131,3633.18,SENS0055,2024-04-14,11.13367,70.744243,0.9,No Disease,3,7,0.23162925759013286,841.5507860913189,27.73419847328244,12.668433348443111,84.35523566287439,0,0,84.20277777777778,Spring,USA
FARM0056,North India,Rice,41.05,5.77,24.07,217.62,77.16,9.68,No Irrigation,Mixed,38.4,2024-01-14,2024-05-24,131,2396.09,SENS0056,2024-05-18,25.391305,88.781061,0.47,Moderate,1,5,0.45,1078.2405,18.290763358778626,10.96006769737444,60.814467005076146,0,0,70.06388888888888,Winter,India
FARM0057,South India,Cotton,25.56,5.97,22.25,295.23,58.37,9.41,Manual,Organic,22.92,2024-01-04,2024-06-02,150,5392.13,SENS0057,2024-04-29,12.291836,74.242116,0.68,No Disease,1,6,1.6810423698639896,9064.398993814715,35.94753333333333,18.202511561961987,225.42349498327758,0,0,65.49166666666666,Winter,India
FARM0058,North India,Maize,18.52,5.75,26.29,67.15,78.26,5.24,Sprinkler,Organic,19.79,2024-01-26,2024-06-21,147,4383.93,SENS0058,2024-04-05,31.460153,72.89376,0.38,Moderate,1,6,0.22661864363728726,993.4802704008129,29.822653061224493,64.32765957446809,210.8672438672439,0,1,54.0638888888889,Winter,India
FARM0059,South India,Wheat,33.14,5.55,15.3,247.5,51.9,5.94,Sprinkler,Inorganic,7.36,2024-03-14,2024-07-15,123,2454.6,SENS0059,2024-03-22,21.906149,85.560341,0.61,No Disease,3,7,0.23162925759013286,568.5571756807401,19.95609756097561,9.877665995975855,293.6124401913876,0,0,43.577777777777776,Spring,India
FARM0060,South USA,Soybean,17.75,6.73,29.54,277.19,72.95,5.81,Drip,Organic,49.94,2024-02-14,2024-06-26,133,2431.85,SENS0060,2024-06-06,11.837268,71.61581,0.66,No Disease,2,6,0.4987852229601519,1212.9708444556452,18.28458646616541,8.741687335993385,47.73949744797801,0,1,61.17777777777777,Winter,USA
FARM0061,South India,Maize,31.85,6.67,29.24,145.23,69.87,5.77,No Irrigation,Organic,40.69,2024-01-28,2024-06-07,131,4603.67,SENS0061,2024-03-23,20.751749,87.76182,0.55,Severe,1,6,0.22661864363728726,1043.2774511536702,35.14251908396947,31.48239075429119,110.42624130486928,0,0,68.01111111111112,Winter,India
FARM0062,South USA,Cotton,35.54,6.13,21.25,113.72,87.68,8.12,No Irrigation,Organic,9.11,2024-01-03,2024-04-29,117,2386.26,SENS0062,2024-04-06,19.316171,72.602309,0.34,Moderate,1,4,1.6810423698639896,4011.4041655116444,20.395384615384618,20.800732217573223,236.02967359050447,0,0,62.702777777777776,Winter,USA
FARM0063,North India,Cotton,22.38,6.83,30.01,267.02,76.05,9.81,Manual,Inorganic,9.66,2024-03-07,2024-06-14,99,4626.95,SENS0063,2024-04-04,31.181871,77.00228,0.63,No Disease,3,6,1.6810423698639896,7778.098993242186,46.73686868686868,17.263450488769497,434.04784240150093,0,0,60.15833333333333,Spring,India
FARM0064,Central USA,Soybean,17.92,6.36,26.22,241.86,71.09,8.05,Drip,Mixed,46.81,2024-03-09,2024-06-08,91,2721.66,SENS0064,2024-06-06,29.060238,88.43075,0.51,Mild,3,6,0.4987852229601519,1357.5237899217268,29.908351648351648,11.20670345054764,56.92658439656975,0,1,67.32222222222222,Spring,USA
FARM0065,South India,Soybean,33.01,5.64,29.82,292.95,44.59,7.18,No Irrigation,Inorganic,25.41,2024-01-12,2024-04-30,109,4886.38,SENS0065,2024-04-20,33.535186,81.924475,0.83,Mild,1,4,0.4987852229601519,2437.254137768027,44.82917431192661,16.623167205307027,185.0200681560015,0,0,62.70555555555555,Winter,India
FARM0066,South India,Soybean,11.74,5.66,23.86,156.0,70.35,6.49,Sprinkler,Mixed,10.12,2024-02-04,2024-05-22,108,4712.87,SENS0066,2024-04-19,22.165819,83.342651,0.33,Severe,2,5,0.4987852229601519,2350.709913732211,43.637685185185184,30.018280254777068,423.81924460431657,0,1,47.922222222222224,Winter,India
FARM0067,East Africa,Wheat,10.27,6.1,19.22,84.31,52.78,5.97,Drip,Inorganic,38.62,2024-01-05,2024-04-28,114,4130.33,SENS0067,2024-02-03,22.506559,86.667084,0.78,No Disease,1,4,0.23162925759013286,956.7052715022535,36.230964912280704,48.41554331262454,104.24861181221605,0,1,54.08888888888888,Winter,Kenya
FARM0068,South USA,Wheat,25.27,6.42,16.56,128.27,61.46,6.43,No Irrigation,Inorganic,10.18,2024-01-11,2024-04-20,100,5205.29,SENS0068,2024-03-30,21.502423,83.792201,0.52,Severe,1,4,0.23162925759013286,1205.6974582413427,52.0529,40.26680591011062,465.58944543828267,0,0,54.605555555555554,Winter,USA
FARM0069,North India,Rice,25.25,6.3,16.57,267.63,77.29,5.33,Sprinkler,Organic,27.97,2024-01-17,2024-05-18,122,2775.61,SENS0069,2024-04-25,18.734382,84.547582,0.79,Mild,1,5,0.45,1249.0245,22.750901639344264,10.332464728436884,95.80980324473595,0,0,59.36944444444444,Winter,India
FARM0070,South India,Wheat,15.13,5.89,27.05,240.05,72.78,5.06,No Irrigation,Inorganic,38.95,2024-03-15,2024-07-26,133,5696.62,SENS0070,2024-06-05,31.606172,82.544348,0.39,No Disease,3,7,0.23162925759013286,1319.5038613731026,42.83172932330827,23.632524372536817,142.59374217772213,0,1,52.86388888888888,Spring,India
FARM0071,South USA,Cotton,32.1,7.09,26.83,137.99,43.71,6.77,Drip,Organic,21.59,2024-02-03,2024-06-13,131,5457.0,SENS0071,2024-02-26,25.37521,80.141356,0.58,No Disease,2,6,1.6810423698639896,9173.448212347792,41.656488549618324,39.26181739693503,241.56706507304116,0,0,67.925,Winter,USA
FARM0072,South USA,Soybean,32.81,6.14,24.51,87.72,43.09,4.62,Manual,Mixed,8.79,2024-03-06,2024-06-06,92,2990.97,SENS0072,2024-05-01,34.774651,80.481371,0.67,Moderate,3,6,0.4987852229601519,1491.8516383171254,32.510543478260864,33.71246618575293,305.51276813074566,0,0,77.75277777777778,Spring,USA
FARM0073,Central USA,Maize,23.56,7.05,28.58,63.09,71.54,6.01,Manual,Organic,30.11,2024-02-10,2024-05-26,106,4894.93,SENS0073,2024-05-04,34.110251,82.054016,0.39,No Disease,2,5,0.22661864363728726,1109.2823972994665,46.17858490566038,76.37587767202372,157.34265509482483,0,0,54.72222222222223,Winter,USA
FARM0074,East Africa,Rice,42.09,6.12,28.12,215.53,46.45,8.25,Drip,Inorganic,30.15,2024-03-26,2024-07-15,111,5252.74,SENS0074,2024-06-19,27.570772,88.942172,0.9,No Disease,3,7,0.45,2363.733,47.32198198198198,24.258717036900197,168.62728731942215,0,0,81.75000000000001,Spring,Kenya
FARM0075,South USA,Soybean,22.66,6.23,18.61,103.55,87.38,6.92,Sprinkler,Organic,11.97,2024-02-28,2024-07-17,140,2404.56,SENS0075,2024-07-15,30.877996,87.673643,0.32,Moderate,2,7,0.4987852229601519,1199.3589957210627,17.175428571428572,22.999139167862268,185.39398612181958,0,0,50.113888888888894,Winter,USA
FARM0076,East Africa,Rice,30.9,5.81,18.62,223.21,71.24,9.42,No Irrigation,Organic,23.49,2024-03-24,2024-07-07,105,5878.35,SENS0076,2024-06-10,17.123198,84.97073,0.57,Mild,3,7,0.45,2645.2575,55.98428571428572,26.218054502475358,240.0306247447938,0,0,53.96666666666667,Spring,Kenya
FARM0077,Central USA,Cotton,41.64,5.89,28.57,192.6,62.03,8.62,No Irrigation,Mixed,28.74,2024-01-27,2024-05-08,102,5205.04,SENS0077,2024-02-13,31.825048,71.043596,0.59,Moderate,1,5,1.6810423698639896,8749.89277683686,51.02980392156863,26.885537190082644,175.01815736381977,0,0,68.79166666666666,Winter,USA
FARM0078,East Africa,Wheat,34.9,6.53,17.49,70.97,48.02,6.7,Sprinkler,Inorganic,9.13,2024-01-27,2024-05-24,118,5538.52,SENS0078,2024-01-30,20.372423,77.929079,0.52,Severe,1,5,0.23162925759013286,1282.8832757481027,46.93661016949153,76.95595386966792,546.7443237907206,0,0,63.11388888888888,Winter,Kenya
FARM0079,North India,Maize,17.86,6.14,16.98,228.68,56.76,4.88,Drip,Inorganic,46.28,2024-02-23,2024-07-15,143,2555.17,SENS0079,2024-06-22,21.215037,70.105024,0.35,Moderate,2,7,0.22661864363728726,579.0491596626873,17.868321678321678,11.124912922326715,54.043358714044,0,1,42.62222222222222,Winter,India
FARM0080,South India,Rice,29.21,6.95,25.56,77.8,54.41,5.81,Drip,Organic,23.89,2024-03-15,2024-06-17,94,2443.43,SENS0080,2024-05-17,24.918476,70.328707,0.61,Mild,3,6,0.45,1099.5435,25.993936170212763,31.00799492385787,98.16914423463237,0,0,72.57777777777778,Spring,India
